Tenor,Expiry,Forward,Strike 100,Strike 150,Strike 200,Strike 300,Strike 350,Strike 400,Strike 500,Strike 600,Strike 700, Strike 800, Strike 900,Strike 1000,Strike 1100,Strike 1200,Strike 1300,Strike 1400
0.25,1.0,0.00258,0.6563,0.6997,0.7340,0.7840,0.8035,0.8208,0.8492,0.8730,0.8925,0.9105,0.9260,0.9397,0.9520,0.9638,0.9743,0.9840
0.25,2.0,0.00258,0.6405,0.6072,0.5885,0.5723,0.5690,0.5675,0.5675,0.5695,0.5723,0.5753,0.5783,0.5815,0.5845,0.5873,0.5902,0.5927
0.25,3.0,0.00258,0.5885,0.5413,0.5108,0.4735,0.4617,0.4533,0.4413,0.4342,0.4302,0.4280,0.4270,0.4267,0.4267,0.4270,0.4277,0.4288
